type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,47157000100,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157000200,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157000300,Black,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157000400,Black,183,6/25/2023,2,0.75,7/1/2023
Census Tract,47157000600,Black,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157000700,Black,183,6/25/2023,1,6.75,7/1/2023
Census Tract,47157000800,Black,183,6/25/2023,0,1,7/1/2023
Census Tract,47157000900,Black,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157001100,Other,183,6/25/2023,0,2.25,7/1/2023
Census Tract,47157001200,Other,183,6/25/2023,0,2.5,7/1/2023
Census Tract,47157001300,Black,183,6/25/2023,2,2.5,7/1/2023
Census Tract,47157001400,Black,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157001500,Black,183,6/25/2023,1,0.5,7/1/2023
Census Tract,47157001600,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157001700,Other,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157001900,Black,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157002000,Black,183,6/25/2023,1,1.25,7/1/2023
Census Tract,47157002100,Black,183,6/25/2023,0,1,7/1/2023
Census Tract,47157002400,Black,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157002500,Other,183,6/25/2023,0,2,7/1/2023
Census Tract,47157002600,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157002700,Black,183,6/25/2023,1,1.25,7/1/2023
Census Tract,47157002800,Black,183,6/25/2023,0,5,7/1/2023
Census Tract,47157002900,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157003000,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157003100,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157003200,White,183,6/25/2023,1,2.5,7/1/2023
Census Tract,47157003300,White,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157003400,White,183,6/25/2023,0,1,7/1/2023
Census Tract,47157003500,White,183,6/25/2023,1,2.25,7/1/2023
Census Tract,47157003600,Other,183,6/25/2023,4,2.5,7/1/2023
Census Tract,47157003700,Black,183,6/25/2023,0,2,7/1/2023
Census Tract,47157003800,Black,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157003900,Black,183,6/25/2023,0,2.5,7/1/2023
Census Tract,47157004200,White,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157004300,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157004500,Black,183,6/25/2023,1,1.5,7/1/2023
Census Tract,47157004600,Black,183,6/25/2023,0,2,7/1/2023
Census Tract,47157005000,Black,183,6/25/2023,0,0,7/1/2023
Census Tract,47157005300,Black,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157005500,Black,183,6/25/2023,0,2.25,7/1/2023
Census Tract,47157005600,Black,183,6/25/2023,1,3.75,7/1/2023
Census Tract,47157005700,Black,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157005800,Black,183,6/25/2023,1,0,7/1/2023
Census Tract,47157005900,Black,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157006000,Black,183,6/25/2023,1,1.25,7/1/2023
Census Tract,47157006200,Black,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157006300,White,183,6/25/2023,0,2,7/1/2023
Census Tract,47157006400,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157006500,Black,183,6/25/2023,1,2.75,7/1/2023
Census Tract,47157006600,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157006700,Black,183,6/25/2023,0,3,7/1/2023
Census Tract,47157006800,Black,183,6/25/2023,3,2,7/1/2023
Census Tract,47157006900,Black,183,6/25/2023,1,1.5,7/1/2023
Census Tract,47157007000,Black,183,6/25/2023,3,5.25,7/1/2023
Census Tract,47157007100,White,183,6/25/2023,2,0.25,7/1/2023
Census Tract,47157007200,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157007300,Other,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157007400,White,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157007500,Black,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157007810,Black,183,6/25/2023,1,0.75,7/1/2023
Census Tract,47157007821,Black,183,6/25/2023,1,2.25,7/1/2023
Census Tract,47157007822,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157007900,Black,183,6/25/2023,0,2.25,7/1/2023
Census Tract,47157008000,Black,183,6/25/2023,1,2.25,7/1/2023
Census Tract,47157008110,Black,183,6/25/2023,0,3.75,7/1/2023
Census Tract,47157008120,Black,183,6/25/2023,1,4.5,7/1/2023
Census Tract,47157008200,Black,183,6/25/2023,0,4,7/1/2023
Census Tract,47157008500,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157008600,White,183,6/25/2023,0,4.25,7/1/2023
Census Tract,47157008700,White,183,6/25/2023,1,2.25,7/1/2023
Census Tract,47157008800,Other,183,6/25/2023,0,2,7/1/2023
Census Tract,47157008900,Other,183,6/25/2023,1,1.5,7/1/2023
Census Tract,47157009100,Latinx,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157009200,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157009300,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157009400,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157009500,White,183,6/25/2023,0,1,7/1/2023
Census Tract,47157009600,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157009700,Black,183,6/25/2023,1,1.25,7/1/2023
Census Tract,47157009800,Other,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157009901,Other,183,6/25/2023,1,3.25,7/1/2023
Census Tract,47157009902,Black,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157010000,Black,183,6/25/2023,0,3.5,7/1/2023
Census Tract,47157010110,Black,183,6/25/2023,8,5,7/1/2023
Census Tract,47157010120,Black,183,6/25/2023,2,2.75,7/1/2023
Census Tract,47157010210,Black,183,6/25/2023,1,4.25,7/1/2023
Census Tract,47157010220,Black,183,6/25/2023,1,6.5,7/1/2023
Census Tract,47157010300,Black,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157010500,Black,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157010610,Black,183,6/25/2023,2,3.25,7/1/2023
Census Tract,47157010620,Black,183,6/25/2023,0,8.5,7/1/2023
Census Tract,47157010630,Black,183,6/25/2023,0,4.5,7/1/2023
Census Tract,47157010710,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157010720,Black,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157010810,Black,183,6/25/2023,4,7.75,7/1/2023
Census Tract,47157010820,Black,183,6/25/2023,0,2.25,7/1/2023
Census Tract,47157011010,Black,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157011020,Black,183,6/25/2023,0,1.75,7/1/2023
Census Tract,47157011100,Black,183,6/25/2023,2,0.25,7/1/2023
Census Tract,47157011200,Black,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157011300,Black,183,6/25/2023,1,3.5,7/1/2023
Census Tract,47157011400,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157011500,Black,183,6/25/2023,1,2.25,7/1/2023
Census Tract,47157011600,Black,183,6/25/2023,0,2,7/1/2023
Census Tract,47157011700,Black,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157011800,Other,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157020101,Black,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020102,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157020210,White,183,6/25/2023,1,2,7/1/2023
Census Tract,47157020221,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157020222,Other,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157020300,White,183,6/25/2023,0,0.5,7/1/2023
Census Tract,47157020400,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157020511,Black,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020512,Black,183,6/25/2023,0,4.5,7/1/2023
Census Tract,47157020521,Black,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157020523,Black,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157020524,Black,183,6/25/2023,0,3.25,7/1/2023
Census Tract,47157020531,Black,183,6/25/2023,0,4,7/1/2023
Census Tract,47157020532,Black,183,6/25/2023,1,6.25,7/1/2023
Census Tract,47157020541,Black,183,6/25/2023,1,1.5,7/1/2023
Census Tract,47157020542,Black,183,6/25/2023,0,7.5,7/1/2023
Census Tract,47157020610,Black,183,6/25/2023,0,2.25,7/1/2023
Census Tract,47157020621,Black,183,6/25/2023,4,3.75,7/1/2023
Census Tract,47157020622,White,183,6/25/2023,1,2,7/1/2023
Census Tract,47157020632,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020633,White,183,6/25/2023,1,0.25,7/1/2023
Census Tract,47157020634,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020635,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157020642,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157020643,White,183,6/25/2023,0,1,7/1/2023
Census Tract,47157020644,Black,183,6/25/2023,0,4,7/1/2023
Census Tract,47157020651,White,183,6/25/2023,0,2.75,7/1/2023
Census Tract,47157020652,White,183,6/25/2023,1,2.5,7/1/2023
Census Tract,47157020700,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020810,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157020820,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157020831,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157020832,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157020900,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157021010,Black,183,6/25/2023,1,5.75,7/1/2023
Census Tract,47157021020,White,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157021111,Black,183,6/25/2023,1,1.5,7/1/2023
Census Tract,47157021112,Other,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157021113,Other,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157021121,Black,183,6/25/2023,0,4.75,7/1/2023
Census Tract,47157021122,Other,183,6/25/2023,0,11.5,7/1/2023
Census Tract,47157021124,Other,183,6/25/2023,7,2.5,7/1/2023
Census Tract,47157021125,White,183,6/25/2023,1,1.75,7/1/2023
Census Tract,47157021126,Other,183,6/25/2023,0,4.25,7/1/2023
Census Tract,47157021135,Black,183,6/25/2023,2,5.25,7/1/2023
Census Tract,47157021136,White,183,6/25/2023,0,1,7/1/2023
Census Tract,47157021137,White,183,6/25/2023,0,5,7/1/2023
Census Tract,47157021138,Black,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157021139,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157021140,White,183,6/25/2023,1,5.25,7/1/2023
Census Tract,47157021141,Black,183,6/25/2023,2,2.75,7/1/2023
Census Tract,47157021142,White,183,6/25/2023,1,0.25,7/1/2023
Census Tract,47157021200,Black,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021311,White,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157021312,White,183,6/25/2023,8,0.5,7/1/2023
Census Tract,47157021320,White,183,6/25/2023,2,1,7/1/2023
Census Tract,47157021331,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021333,Black,183,6/25/2023,0,7.5,7/1/2023
Census Tract,47157021334,Black,183,6/25/2023,0,6,7/1/2023
Census Tract,47157021341,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157021342,Other,183,6/25/2023,0,7,7/1/2023
Census Tract,47157021351,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157021352,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021353,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021410,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021420,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021430,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021510,Black,183,6/25/2023,0,10.25,7/1/2023
Census Tract,47157021520,Other,183,6/25/2023,0,1.25,7/1/2023
Census Tract,47157021530,White,183,6/25/2023,1,0,7/1/2023
Census Tract,47157021540,White,183,6/25/2023,0,1,7/1/2023
Census Tract,47157021611,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157021612,White,183,6/25/2023,0,0,7/1/2023
Census Tract,47157021613,White,183,6/25/2023,0,0.25,7/1/2023
Census Tract,47157021620,Black,183,6/25/2023,0,0.75,7/1/2023
Census Tract,47157021710,Black,183,6/25/2023,1,3.75,7/1/2023
Census Tract,47157021721,Black,183,6/25/2023,1,6.5,7/1/2023
Census Tract,47157021724,Black,183,6/25/2023,0,2,7/1/2023
Census Tract,47157021725,Black,183,6/25/2023,4,11,7/1/2023
Census Tract,47157021726,Black,183,6/25/2023,13,3.75,7/1/2023
Census Tract,47157021731,Black,183,6/25/2023,0,1.5,7/1/2023
Census Tract,47157021732,Black,183,6/25/2023,0,10,7/1/2023
Census Tract,47157021741,Black,183,6/25/2023,0,5.25,7/1/2023
Census Tract,47157021744,Black,183,6/25/2023,1,1.75,7/1/2023
Census Tract,47157021745,Black,183,6/25/2023,0,3.5,7/1/2023
Census Tract,47157021746,Black,183,6/25/2023,0,1,7/1/2023
Census Tract,47157021747,Black,183,6/25/2023,1,2.5,7/1/2023
Census Tract,47157021751,Black,183,6/25/2023,0,1.25,7/1/2023
